Device,Replicate,Experiment,Plate Name,Animal Description,Plate Position Name,Plate Row,Plate Column,Plate Center Position X (inches),Plate Center Position Y (inches),Plate Size X (inches),Plate Size Y (inches),Strain,Genotype,Condition1,Condition 2,Condition 3,Culturing Temperature,Experiment Temperature,Food Source,Environmental Conditions,Incubator Name,Incubator Column,Incubator Shelf,Event Frequency,Age at Death (d) Raw,Duration Not Fast Moving (d),Longest Gap in Measurement (d),Duration before death contraction end (d),Censored,Censored Reason,Event Observation Type,Annotation Source,Technique,Analysis Type,Event Type
Vesuvius,1,RL_110918,Vesuvius_a::0,PX632::mated::auxin::34::20::OP50-1,a::0,0,a,1.08281,1.03906,1.84063,1.87813,PX632,auxin_mated,mated,auxin,34,20,20,OP50-1,,,,,1,28.0991,0.916667,0,0,0,,,Storyboard Annotation,Lifespan Machine,,
Vesuvius,1,RL_110918,Vesuvius_a::0,PX632::mated::auxin::34::20::OP50-1,a::0,0,a,1.08281,1.03906,1.84063,1.87813,PX632,auxin_mated,mated,auxin,34,20,20,OP50-1,,,,,1,28.3491,2.45833,0,0,0,,,Storyboard Annotation,Lifespan Machine,,
Vesuvius,1,RL_110918,Vesuvius_a::0,PX632::mated::auxin::34::20::OP50-1,a::0,0,a,1.08281,1.03906,1.84063,1.87813,PX632,auxin_mated,mated,auxin,34,20,20,OP50-1,,,,,1,28.4741,2.5,0,0,0,,,Storyboard Annotation,Lifespan Machine,,
Vesuvius,1,RL_110918,Vesuvius_a::0,PX632::mated::auxin::34::20::OP50-1,a::0,0,a,1.08281,1.03906,1.84063,1.87813,PX632,auxin_mated,mated,auxin,34,20,20,OP50-1,,,,,1,29.0991,1.625,0,0,0,,,Storyboard Annotation,Lifespan Machine,,
Vesuvius,1,RL_110918,Vesuvius_a::0,PX632::mated::auxin::34::20::OP50-1,a::0,0,a,1.08281,1.03906,1.84063,1.87813,PX632,auxin_mated,mated,auxin,34,20,20,OP50-1,,,,,1,30.4741,3.70833,0,0,0,,,Storyboard Annotation,Lifespan Machine,,
Vesuvius,1,RL_110918,Vesuvius_a::0,PX632::mated::auxin::34::20::OP50-1,a::0,0,a,1.08281,1.03906,1.84063,1.87813,PX632,auxin_mated,mated,auxin,34,20,20,OP50-1,,,,,1,30.7241,8.5,0,0,0,,,Storyboard Annotation,Lifespan Machine,,
Vesuvius,1,RL_110918,Vesuvius_a::1,PX632::virgin::auxin::62::20::OP50-1,a::1,1,a,1.06875,3.27187,1.825,1.85,PX632,auxin_virgin,virgin,auxin,62,20,20,OP50-1,,,,,1,30.2241,0.208333,0.0416667,0,1,Objects apparently moving at termination of measurement,,Automated Analysis,Lifespan Machine,,
Vesuvius,1,RL_110918,Vesuvius_a::1,PX632::virgin::auxin::62::20::OP50-1,a::1,1,a,1.06875,3.27187,1.825,1.85,PX632,auxin_virgin,virgin,auxin,62,20,20,OP50-1,,,,,1,30.7658,6.875,0,0,1,Objects apparently moving at termination of measurement,Observed Multiple Worm,Storyboard Annotation,Lifespan Machine,,
Vesuvius,1,RL_110918,Vesuvius_a::1,PX632::virgin::auxin::62::20::OP50-1,a::1,1,a,1.06875,3.27187,1.825,1.85,PX632,auxin_virgin,virgin,auxin,62,20,20,OP50-1,,,,,1,30.7658,6.875,0,0,1,Objects apparently moving at termination of measurement,Observed Multiple Worm,Storyboard Annotation,Lifespan Machine,,
Vesuvius,1,RL_110918,Vesuvius_a::1,PX632::virgin::auxin::62::20::OP50-1,a::1,1,a,1.06875,3.27187,1.825,1.85,PX632,auxin_virgin,virgin,auxin,62,20,20,OP50-1,,,,,1,30.7866,6.875,0,0,1,Objects apparently moving at termination of measurement,Induced Multiple Worm,Storyboard Annotation,Lifespan Machine,,
